Tag, Descricao, Modulo, Fase, Grandeza, IdSensor, Frequencia_Amostragem, Timestamp
M1IOCA1, I OPENING COIL A, 1, A, I, 1, 33333.0, 1747944058.3585627

tempos, dados
0.01953125, 0.030326
0.049560546875, -0.004341
0.079345703125, -0.149946
0.109375, -0.143012
0.139404296875, -0.004341
0.16943359375, 0.099662
0.199462890625, 0.009526
0.2294921875, -0.073677
0.259521484375, -0.066743
0.28955078125, 0.071928
0.3193359375, 0.016459
0.349365234375, 0.092728
0.37939453125, 0.009526
0.409423828125, 0.023393
0.439453125, 0.078861
0.469482421875, -0.087544
0.49951171875, -0.025142
0.529541015625, -0.15688
0.5595703125, 0.030326
0.58935546875, -0.094478
0.619384765625, 0.002592
0.6494140625, -0.052876
0.679443359375, 0.030326
0.70947265625, -0.087544
0.739501953125, 0.002592
0.76953125, 0.023393
0.799560546875, 0.064994
0.829345703125, 0.071928
0.859375, 0.030326
0.889404296875, -0.073677
0.91943359375, -0.05981
0.949462890625, -0.039009
0.9794921875, -0.011275
1.009521484375, -0.004341
1.03955078125, -0.143012
1.069580078125, -0.066743
1.099365234375, -0.032076
1.12939453125, -0.004341
1.159423828125, -0.115278
1.189453125, 0.148197
1.219482421875, 0.15513
1.24951171875, -0.039009
1.279541015625, 0.030326
1.3095703125, -0.025142
1.33935546875, 0.009526
1.369384765625, 0.099662
1.3994140625, 0.051127
1.429443359375, 0.044194
1.45947265625, -0.039009
1.489501953125, 0.002592
1.51953125, -0.094478
1.549560546875, 0.071928
1.57958984375, -0.05981
1.609375, 0.002592
1.639404296875, -0.004341
1.66943359375, 0.016459
1.699462890625, 0.002592
1.7294921875, 0.085795
1.759521484375, -0.018208
1.78955078125, 0.078861
1.819580078125, -0.018208
1.849365234375, -0.039009
1.87939453125, 0.016459
1.909423828125, -0.018208
1.939453125, -0.184614
1.969482421875, -0.08061
1.99951171875, 0.120463
2.029541015625, 0.044194
2.0595703125, -0.004341
2.08935546875, 0.03726
2.119384765625, 0.009526
2.1494140625, -0.05981
2.179443359375, -0.073677
2.20947265625, -0.004341
2.239501953125, 0.016459
2.26953125, -0.087544
2.299560546875, -0.025142
2.32958984375, -0.191547
2.359375, -0.149946
2.389404296875, 0.064994
2.41943359375, -0.045943
2.449462890625, -0.066743
2.4794921875, -0.025142
2.509521484375, 0.03726
2.53955078125, 0.044194
2.569580078125, 0.106596
2.599365234375, -0.045943
2.62939453125, 0.023393
2.659423828125, -0.025142
2.689453125, -0.143012
2.719482421875, 0.002592
